multiplex	node	score
Disease	disease_9693	0.01082382728828118
Disease	disease_2049	0.005413965724980701
Disease	disease_1343	0.005381396723590698
Disease	disease_5240	0.00038189691744141164
Disease	disease_5235	0.00034001551605752927
Disease	disease_4959	0.00033510551386872485
Disease	disease_16180	0.000332721428345349
Disease	disease_5170	0.0003291515259282085
Disease	disease_4817	0.0003247148184357173
Disease	disease_4815	0.0003247148184357173
Disease	disease_1530	0.0003028737394889022
Disease	disease_12851	0.0002971644656922054
Disease	disease_12850	0.0002970868319097186
Disease	disease_16383	0.000296797721061778
Disease	disease_24277	0.00019350282371512152
Disease	disease_100241	0.0001919653550787574
Disease	disease_1198	0.00018925383295914302
Disease	disease_2245	0.00018916974754295738
Disease	disease_43768	0.0001887245216596554
Disease	disease_19098	0.00018860132192702323
Disease	disease_2048	0.0001865641350636015
Disease	disease_1134	0.0001170896941833255
Disease	disease_8383	0.00010482359785607325
Disease	disease_5154	7.68132445203833e-05
Disease	disease_1922	7.53002251238746e-05
Disease	disease_5281	7.44229813491956e-05
Disease	disease_11429	5.7232989046843696e-05
Disease	disease_15134	5.511918333055783e-05
Disease	disease_5148	5.179545788961487e-05
Disease	disease_4819	5.100232827521324e-05
Disease	disease_3582	4.863719211545891e-05
Disease	disease_79	4.7818119992661845e-05
Disease	disease_16579	4.7788792698248775e-05
Disease	disease_43377	4.742853208910706e-05
Disease	disease_32920	4.669896264959261e-05
Disease	disease_6946	4.547524824862736e-05
Disease	disease_4989	4.5227969226934163e-05
Disease	disease_2050	4.452406661916913e-05
Disease	disease_18542	4.328413829559143e-05
Disease	disease_21100	4.290085068522458e-05
Disease	disease_6816	4.2753585869449975e-05
Disease	disease_7254	4.197211905807776e-05
Disease	disease_16419	4.148215524314374e-05
Disease	disease_19436	4.0723708039057495e-05
Disease	disease_16267	4.022901831739328e-05
Disease	disease_16266	4.017133672025089e-05
Disease	disease_19434	3.940981091843612e-05
Disease	disease_3847	3.912049149688175e-05
Disease	disease_8674	3.7977298929510945e-05
Disease	disease_6044	3.793732178035334e-05
Disease	disease_100192	3.730877121301202e-05
Disease	disease_5247	3.571531733026104e-05
Disease	disease_5379	3.3848550119397246e-05
Disease	disease_1442	3.2903498052676114e-05
Disease	disease_5615	3.223520085196814e-05
Disease	disease_5009	3.1308185170570736e-05
Disease	disease_5027	3.0265853144831984e-05
Disease	disease_5570	2.9833074611298016e-05
Disease	disease_8143	2.9517337117391706e-05
Disease	disease_12819	2.6498869558118764e-05
Disease	disease_4247	2.6373475744917023e-05
Disease	disease_19740	2.6346428279834396e-05
Disease	disease_4877	2.612288149340595e-05
Disease	disease_5393	2.5206571837579867e-05
Disease	disease_19182	2.4662745385015563e-05
Disease	disease_5306	2.3134236235198838e-05
Disease	disease_1531	2.2212494047187807e-05
Disease	disease_20076	2.184375420288275e-05
Disease	disease_4781	2.1378667992758327e-05
Disease	disease_7079	2.1145410789934534e-05
Disease	disease_2046	2.0981363907755077e-05
Disease	disease_6716	2.0585757487027347e-05
Disease	disease_1868	2.058166500148951e-05
Disease	disease_2724	2.0558678003312377e-05
Disease	disease_3678	2.025495236379121e-05
Disease	disease_44881	2.0158284061676907e-05
Disease	disease_19467	1.9881901587285167e-05
Disease	disease_8558	1.9861714839447023e-05
Disease	disease_2144	1.956202400877033e-05
Disease	disease_5010	1.8744444752091907e-05
Disease	disease_18896	1.8681282937787758e-05
Disease	disease_1475	1.865262277936008e-05
Disease	disease_4379	1.857964454424118e-05
Disease	disease_1609	1.851789491215755e-05
Disease	disease_17364	1.8264285286796584e-05
Disease	disease_100280	1.82260875914869e-05
Disease	disease_4242	1.792707778292702e-05
Disease	disease_5191	1.767888639551972e-05
Disease	disease_9688	1.7321669295644655e-05
Disease	disease_11849	1.722521635412943e-05
Disease	disease_9960	1.716406635782368e-05
Disease	disease_15962	1.6875172953174613e-05
Disease	disease_5267	1.6796741693614898e-05
Disease	disease_16101	1.6636071582853792e-05
Disease	disease_705	1.6595527555098435e-05
Disease	disease_1567	1.6504613708408362e-05
Disease	disease_5972	1.5695344334484538e-05
Disease	disease_4639	1.5449558214820753e-05
Disease	disease_4782	1.5437225179912993e-05
Disease	disease_2319	1.5046300543211562e-05
Disease	disease_19171	1.4908934689783566e-05
Disease	disease_4995	1.4384543007084982e-05
Disease	disease_5231	1.4309492084887513e-05
Disease	disease_24313	1.410434561739037e-05
Disease	disease_1744	1.4071718183609557e-05
Disease	disease_1966	1.4071718183609557e-05
Disease	disease_21680	1.3964700319156143e-05
Disease	disease_992	1.3941111984893414e-05
Disease	disease_11057	1.386599285175399e-05
Disease	disease_5545	1.3812377668391234e-05
Disease	disease_7264	1.3771208558639364e-05
Disease	disease_14414	1.3769378215090895e-05
Disease	disease_4949	1.3751541233694722e-05
Disease	disease_19464	1.370313616416551e-05
Disease	disease_2442	1.355442877007545e-05
Disease	disease_5109	1.3512315727936075e-05
Disease	disease_19737	1.3481885161856984e-05
Disease	disease_19463	1.3236221747806584e-05
Disease	disease_5046	1.3221413499555877e-05
Disease	disease_1196	1.3156183643373973e-05
Disease	disease_2254	1.3075551164356747e-05
Disease	disease_5364	1.2932212667906554e-05
Disease	disease_10581	1.2728642493372589e-05
Disease	disease_1133	1.271752547662404e-05
Disease	disease_7451	1.2711594956229325e-05
Disease	disease_6896	1.2704847259192103e-05
Disease	disease_4816	1.2684586315110565e-05
Disease	disease_18689	1.2661261860964923e-05
Disease	disease_4985	1.2595415126296388e-05
Disease	disease_6829	1.2566457046386278e-05
Disease	disease_2286	1.249662543621102e-05
Disease	disease_5252	1.2278992785667752e-05
Disease	disease_2491	1.2105130204632266e-05
Disease	disease_7186	1.1824091590871923e-05
Disease	disease_10138	1.1777250727147056e-05
Disease	disease_5354	1.1727231831756559e-05
Disease	disease_6875	1.168375523232756e-05
Disease	disease_4652	1.1677456705439267e-05
Disease	disease_12268	1.1628319745434876e-05
Disease	disease_4425	1.1603225084386012e-05
Disease	disease_18325	1.1218930800454557e-05
Disease	disease_18324	1.1218930800454557e-05
Disease	disease_9410	1.1218575553681686e-05
Disease	disease_20124	1.1109270126988465e-05
Disease	disease_2520	1.1095686532620998e-05
Disease	disease_2476	1.1006007409454887e-05
Disease	disease_5578	1.091259467538906e-05
Disease	disease_9	1.0846326956802194e-05
Disease	disease_1711	1.069354669469311e-05
Disease	disease_33946	1.0676695205681304e-05
Disease	disease_4784	1.0490766045962418e-05
Disease	disease_2308	1.04723640923645e-05
Disease	disease_7781	1.0427748509903416e-05
Disease	disease_19725	1.0318004549082816e-05
Disease	disease_4982	1.0111867337850462e-05
Disease	disease_4901	1.0106144072431947e-05
Disease	disease_4765	1.005666523085765e-05
Disease	disease_2313	1.004644633457345e-05
Disease	disease_5294	1.0007658802778385e-05
Disease	disease_8315	9.918203359582309e-06
Disease	disease_2249	9.87747478175112e-06
Disease	disease_5300	9.799283765797822e-06
Disease	disease_20671	9.797577585923989e-06
Disease	disease_2009	9.79209786709123e-06
Disease	disease_2679	9.74422604882233e-06
Disease	disease_4	9.712267232609716e-06
Disease	disease_20573	9.68818080539428e-06
Disease	disease_44979	9.651405342410064e-06
Disease	disease_1548	9.635025960481391e-06
Disease	disease_1197	9.631098820842476e-06
Disease	disease_5371	9.535940347358018e-06
Disease	disease_5002	9.527028006585842e-06
Disease	disease_5159	9.431318634634043e-06
Disease	disease_5263	9.397924408504586e-06
Disease	disease_7179	9.397808968293906e-06
Disease	disease_19142	9.380669957076874e-06
Disease	disease_1151	9.367175613361569e-06
Disease	disease_7126	9.329022049070191e-06
Disease	disease_5155	9.325310717555932e-06
Disease	disease_5970	9.269269301271925e-06
Disease	disease_2494	9.167020063367123e-06
Disease	disease_21113	9.087458971502281e-06
